repr,deviation,size,count,mean,std,min,25%,50%,75%,max,correct
Graph,Large,3,25.0,876.1910799996353,139.78207934631087,613.617199999973,793.7880000000063,887.0,932.6216000015352,1175.0678000236062,1.0
Graph,Large,5,25.0,987.7438879981586,174.66646528552306,684.0919999999838,899.9939999999945,977.7913999838842,1045.0,1411.1067999970169,1.0
Graph,Large,7,25.0,1064.0542399977537,149.83268231922017,818.2000000000116,954.6000000000116,1044.0,1145.8856,1383.1514000191528,1.0
Graph,Small,3,25.0,941.3030719952981,162.01122008902797,756.9449999999924,829.8505999999936,911.0000000000116,994.6,1472.8730000169387,1.0
Graph,Small,5,25.0,1176.584441995447,254.75966533768948,857.9613999940979,961.799199999997,1175.0702000042918,1297.1994000138511,1917.3879999979167,0.992
Graph,Small,7,25.0,1292.7170079975806,309.4517494234563,833.75,1103.7538000017928,1205.4422000000836,1354.4,2153.5177999982143,0.984
Number,Large,3,25.0,1208.239021331429,151.94460743724244,903.1449999999896,1085.2000000000055,1184.539800000534,1310.747200000123,1535.8000000000116,0.936
Number,Large,5,25.0,1736.1058106650837,294.86076141512217,1288.3333333333333,1557.7999999999945,1710.25,1891.5908,2330.0816666666665,0.872
Number,Large,7,25.0,1984.7548566646522,491.0570558703172,1160.0496666666684,1616.1753333323384,1915.1751999853773,2197.3084,3245.002333320707,0.808
Number,Small,3,25.0,1312.2846120004428,167.01277589642328,1031.4,1208.0,1269.1491999864418,1431.3361999970105,1737.6,0.96
Number,Small,5,25.0,1820.8322226698851,297.1725237018823,1328.6666666666667,1607.25,1788.80525,1930.2000000000055,2575.2377999999967,0.832
Number,Small,7,25.0,2408.8161060000903,587.7149253113806,1487.0,2082.6385000000155,2357.814333351164,2628.43319999082,3647.442500000012,0.784
