,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
0,1123.0,1757.0,1279.0,926.0,1041.0,1524.0,1724.0,1850.0,2256.0,1530.0,2473.0000000000146,2172.0
1,918.0000000000292,994.0,1163.0,943.0000000000292,1191.0,2170.000000000029,1129.0,3007.0,2297.0,1206.0,3007.0,
2,955.0,1276.0,1152.0,1305.0,1755.0,1222.000000000029,1259.000000000029,,1847.0,1496.0,1530.0,
3,1142.0,871.0000000000291,1482.0,958.0,1591.0,886.0,1463.0,,1851.0,1300.0,1635.0,1532.0
4,952.0,1042.0,765.0,1312.999999999971,1006.9999999999708,1157.0,1145.0,1300.0,1218.000000000029,1307.0,1527.0,
5,1593.0,887.0,805.0,902.0000000000146,999.0000000000146,1360.0,1021.0,3319.0,1644.0,1172.0,1948.0,1683.0
6,788.0,762.0,812.0,1257.0,815.0000000000291,2180.0,1164.0,1115.0,1303.000000000029,929.0,1846.0,2137.0
7,665.0,754.0,983.0,652.0,1044.0,905.0,941.0,,1586.0,1063.0,1523.0,
8,620.0,760.0,812.0000000000291,822.0000000000291,703.0,892.0000000000291,971.0,1466.0,,1031.0,1575.000000000029,
9,731.0,736.0,679.0000000000291,723.0,784.0000000000291,1358.0,1049.0,1114.0,1347.000000000029,962.0,1802.0,1068.0
10,758.3699999941746,806.2009999967704,678.7639999888197,871.8839999941702,1325.46199998862,892.6639999909967,1027.5909999912546,1343.8179999955464,1489.3889999932435,1430.462999989104,1890.697999991069,3282.210999988485
11,604.7449999914097,740.2049999986193,905.5509999865316,870.2579999913287,738.9369999881892,965.7069999937668,1625.7509999902395,2210.962999998941,2512.4799999997776,982.6239999870596,1306.7639999909152,2603.3739999954123
12,669.4429999865824,779.1839999875519,1149.478999998246,805.6579999913811,704.9769999986747,1002.8179999870772,846.4729999997362,2204.198999998276,,1321.7029999933438,2678.31599999679,2002.887999987608
13,784.5969999956724,800.7909999949916,842.8459999884362,834.8739999876416,757.3819999973348,1121.7909999967087,1168.6999999890104,1471.9919999909762,,1361.5599999933038,1463.5519999995013,2468.7519999906945
14,710.1939999995811,785.4959999918356,1099.168999991729,847.2059999880148,763.0489999976708,1311.7189999908442,974.7539999935252,1840.1769999941464,,1486.7129999898607,,2784.9409999919008
15,673.1629999999714,904.7879999999714,1099.6509999999837,769.4089999999851,837.2699999999604,1239.4400000000023,1572.5480000000389,1324.9979999999632,1163.2850000000617,1388.884999999951,1415.938999999984,
16,896.7020000000484,1013.0219999999972,1118.002999999997,909.3169999999518,1092.4850000000442,1412.551000000036,995.652000000002,1263.1479999999865,1749.832999999955,1613.1819999999425,,3077.9560000000347
17,797.765999999945,978.6969999999856,1622.8940000000002,784.6490000000631,692.7719999999972,1114.6040000000503,1965.4069999999483,1699.4750000000058,1248.2419999999693,826.0139999999665,1873.582000000053,2242.1810000000114
18,805.9900000000489,814.3309999999765,1019.6799999999348,885.7660000000615,1439.4629999999888,850.8690000000352,931.0209999999496,1162.4750000000058,1552.5939999999537,1139.1040000000503,1410.7569999999832,1677.0849999999627
19,795.3190000000177,789.1320000000414,836.7740000000922,746.539999999979,747.005999999994,1360.3399999999674,893.3950000000186,1067.2779999999912,1664.237000000081,1117.663000000059,954.9860000000336,1333.332000000053
20,565.0199999999313,583.2530000000115,914.7309999999708,1162.9739999999438,879.6679999999469,1203.5819999999949,711.1600000000326,,990.1919999999808,1334.6300000000338,1536.3749999999418,1402.426999999967
