,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
201,1018.0000000000058,1188.000000000006,1168.2,1089.0,1316.999999999994,1391.8000000000116,1344.000000000006,2052.3333333333335,1893.8000000000059,1367.8,2034.4000000000028,1852.0
112,879.4,779.8,818.2000000000116,871.2000000000087,869.0000000000146,1339.000000000006,1029.2,1753.5,1470.0000000000146,1031.4,1738.8000000000059,1629.3333333333333
132,705.469799993484,782.3753999939538,935.1617999907525,845.9759999905073,857.9613999940979,1058.9397999918788,1128.6537999927532,1814.2297999955772,2000.9344999965106,1316.6125999905344,1834.832499994569,2628.43319999082
239,793.7880000000063,899.9939999999945,1139.4004000000016,819.1362000000081,961.799199999997,1195.5608000000182,1271.6045999999915,1303.4747999999904,1475.6382000000042,1216.9695999999938,1413.8160000000134,2082.6385000000155
144,613.617199999973,684.0919999999838,922.943999999977,756.9449999999924,1154.7117999999668,1048.3077999999864,903.1449999999895,1591.8004999999903,1160.0496666666684,1216.8362000000081,1775.8557499999733,1567.4619999999936
205,646.0000000000011,693.4,834.8000000000029,779.0,865.8000000000036,833.75,1060.25,1317.3333333333333,1477.2500000000018,1610.8,1607.25,1867.25
103,1113.8067999958234,971.4664000005927,1071.3791999982145,829.8505999999936,1039.3955999982195,1103.7538000017928,1061.2316666686577,1366.75799999851,1991.301250000004,1144.7510000037291,1496.373666663693,2476.2942499999917
240,920.6,1038.2000000000057,1026.6000000000117,1021.6,1238.8,1168.4000000000058,1177.2,1527.0,1573.666666666657,1208.0,1930.2000000000057,2146.7500000000073
117,867.8,878.0,992.0000000000058,772.8000000000059,1200.000000000006,1164.75,1131.8000000000116,1288.3333333333333,1830.25,1124.2,1629.8,2093.599999999994
243,887.0,911.0,1044.0,994.6,1330.2000000000057,1328.4000000000117,1085.2000000000057,1557.7999999999943,1510.8,1252.5000000000073,1786.75,1487.0
212,739.543799997907,1111.1537999991094,1016.8108000002976,854.4991999985126,1152.003249998139,925.0693999973125,1134.0847999985097,1861.404799997917,2010.422749999263,1264.8191999982141,1493.4714999988828,2318.6742499988904
142,894.4,1045.0,1082.6,860.6000000000058,1318.2000000000014,979.6000000000058,1170.6000000000088,1676.8,2358.0000000000073,1296.0,1955.333333333343,2160.2000000000116
121,889.0,956.6000000000116,954.6000000000116,911.0000000000116,1189.000000000006,1204.6000000000174,1266.000000000006,1564.5,1886.75,1085.999999999994,1328.6666666666667,1864.4000000000117
223,1079.3542000000248,1137.400999999995,1124.049800000002,990.222799999977,1637.4238000000246,1778.7654000000155,1327.9889999999723,2279.996599999978,2505.848399999965,1268.4581999999996,2575.2377999999967,3647.442500000012
141,932.6216000015353,1005.929600001243,1221.5958000020241,1124.398600003397,1540.3493999983912,2017.1195999989898,1184.5398000005341,1822.6328000025533,2614.338600002877,1171.9722000031265,1846.2446666683147,2730.650999998053
129,865.6000000000058,967.4,1243.5999999999942,1011.2000000000058,1069.0,1354.4,1535.8000000000116,1710.25,1964.25,1737.6,1862.5000000000073,3387.75
110,738.6438000150083,791.325000006205,852.9484000118973,759.4423999972903,1297.1994000138511,1321.2757999976834,1049.4250000086286,1765.8327500050545,1823.135250009549,1179.0506000259368,1814.778400008459,2357.814333351164
138,692.38119996,930.2983999600001,920.84039994,815.0897999,888.2499998999999,1100.5791999799999,1187.11659998,2330.0816666666665,2197.3084,1445.4199999999998,1564.34925,2573.5815000000002
204,947.0845999999999,1034.9542,1145.8856,962.0082,1223.6654,1104.1852000000001,1294.175,1891.5908,1714.4904999999999,1486.2342,1788.80525,2369.927
125,1175.0678000236062,1234.2826000332266,1312.4317999990403,1472.8730000169387,1175.0702000042918,1427.2423999970713,1390.7826666676021,2125.5447499962756,3245.002333320707,1500.9990000091857,1602.1113333641406,2503.8530000185638
113,913.3497999958229,1411.1067999970169,1281.525799997017,970.8381999979144,1917.3879999979167,2153.5177999982143,1363.1513999976219,1583.7533999970183,1616.1753333323384,1431.3361999970105,2140.652799997316,3011.6537999982015
131,880.7119999838411,977.7913999838842,1096.9795999850176,991.588199985896,1128.203999989663,1479.1953999866557,1065.6461999916792,1555.0795999884926,1915.1751999853775,1269.1491999864418,1739.7837499818543,2243.149249985363
107,815.2534000007436,1006.8962000008207,1001.4904000002891,911.2544000011228,949.949200000224,1291.7648000005925,1242.7990000007412,1894.488400000817,2243.774666667654,1341.9628000008233,2300.8880000004547,3005.850400000828
130,893.095000000071,1001.0490000001039,1010.160800000123,902.0088000001036,907.8842000001168,1205.4422000000836,1310.747200000123,1586.2330000001064,2093.0442000001726,1369.4915000001347,1890.5235000001267,3591.155000000086
242,1003.1880000230274,1256.0813999778154,1383.1514000191528,1215.4453999907594,1186.3561999912374,1342.5057999891578,1490.8337999788753,2181.893599978156,3047.4654999685226,1468.7527999959334,2369.3814000693033,2623.5393333269167
