,graphFlag,deviation,size,duration
6,0.0,5.0,3.0,1530.0
11,0.0,5.0,3.0,1206.0
12,0.0,5.0,3.0,1496.0
35,0.0,5.0,3.0,1300.0
51,0.0,5.0,3.0,1307.0
77,0.0,5.0,3.0,1172.0
79,0.0,5.0,3.0,929.0
107,0.0,5.0,3.0,1063.0
108,0.0,5.0,3.0,1031.0
113,0.0,5.0,3.0,962.0
123,0.0,5.0,3.0,1430.462999989104
134,0.0,5.0,3.0,982.6239999870596
141,0.0,5.0,3.0,1321.7029999933438
143,0.0,5.0,3.0,1361.5599999933038
178,0.0,5.0,3.0,1486.7129999898607
190,0.0,5.0,3.0,1388.884999999951
196,0.0,5.0,3.0,1613.1819999999425
201,0.0,5.0,3.0,826.0139999999665
218,0.0,5.0,3.0,1139.1040000000503
232,0.0,5.0,3.0,1117.663000000059
255,0.0,5.0,3.0,1334.6300000000338
262,0.0,5.0,3.0,823.466000000044
263,0.0,5.0,3.0,1188.015999999945
270,0.0,5.0,3.0,1575.6330000000016
292,0.0,5.0,3.0,1162.436000000016
311,0.0,5.0,3.0,1209.0
313,0.0,5.0,3.0,1942.0
316,0.0,5.0,3.0,1513.0
340,0.0,5.0,3.0,2509.0
343,0.0,5.0,3.0,881.0
379,0.0,5.0,3.0,1153.1560000059544
382,0.0,5.0,3.0,1141.5150000029826
400,0.0,5.0,3.0,1317.7770000029705
403,0.0,5.0,3.0,1116.8819999970146
408,0.0,5.0,3.0,966.5560000030092
421,0.0,5.0,3.0,1123.0
436,0.0,5.0,3.0,1195.0
441,0.0,5.0,3.0,1299.0
455,0.0,5.0,3.0,1085.0
468,0.0,5.0,3.0,1215.0
495,0.0,5.0,3.0,1069.0
497,0.0,5.0,3.0,1145.0
507,0.0,5.0,3.0,967.0
520,0.0,5.0,3.0,1529.0
523,0.0,5.0,3.0,911.0
540,0.0,5.0,3.0,1164.0
549,0.0,5.0,3.0,1310.0
555,0.0,5.0,3.0,1229.000000000029
564,0.0,5.0,3.0,1002.0
586,0.0,5.0,3.0,1469.0
601,0.0,5.0,3.0,1258.7529999955295
603,0.0,5.0,3.0,1680.1140000000014
624,0.0,5.0,3.0,1253.1519999970333
640,0.0,5.0,3.0,1094.4240000014834
644,0.0,5.0,3.0,1037.6529999970226
687,0.0,5.0,3.0,1552.0
690,0.0,5.0,3.0,1115.0
695,0.0,5.0,3.0,1274.0
696,0.0,5.0,3.0,1055.0
715,0.0,5.0,3.0,1484.0
758,0.0,5.0,3.0,1131.0
760,0.0,5.0,3.0,1334.999999999971
767,0.0,5.0,3.0,1083.0
771,0.0,5.0,3.0,893.0
778,0.0,5.0,3.0,988.0
800,0.0,5.0,3.0,799.4700000000594
804,0.0,5.0,3.0,1581.6819999999134
817,0.0,5.0,3.0,1541.8219999999274
832,0.0,5.0,3.0,1322.7150000000256
835,0.0,5.0,3.0,1096.6020000000717
856,0.0,5.0,3.0,1238.0029999992694
860,0.0,5.0,3.0,1013.2479999966454
865,0.0,5.0,3.0,971.1120000075024
873,0.0,5.0,3.0,1437.656000004907
882,0.0,5.0,3.0,1199.8420000073093
902,0.0,5.0,3.0,2780.0
918,0.0,5.0,3.0,1136.0
921,0.0,5.0,3.0,1723.0
925,0.0,5.0,3.0,1800.0
928,0.0,5.0,3.0,1249.0
988,0.0,5.0,3.0,931.8580000240764
989,0.0,5.0,3.0,1167.2800000174902
997,0.0,5.0,3.0,839.3320000235981
1001,0.0,5.0,3.0,1821.4500000312985
1009,0.0,5.0,3.0,1135.3330000332207
1031,0.0,5.0,3.0,1164.604
1044,0.0,5.0,3.0,1593.887
1065,0.0,5.0,3.0,1629.045
1068,0.0,5.0,3.0,1118.462
1079,0.0,5.0,3.0,1721.102
1084,0.0,5.0,3.0,1062.926
1107,0.0,5.0,3.0,1472.384
1121,0.0,5.0,3.0,1419.096
1123,0.0,5.0,3.0,1514.709
1131,0.0,5.0,3.0,1962.056
