sender,sender_type,sender_id,timestamp,correct,correctResponse,deviation,disp_x,disp_y,duration,ended_on,graphFlag,img,item1,item2,item3,item4,item5,item6,item7,max,max_index,response,response_action,size,time_commit,time_end,time_render,time_run,time_show,time_switch
Stimulus + Response,canvas.Screen,1_0_1,2021-06-03T01:53:42.230Z,true,7,5,60,45,3463.272999998502,response,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,7,click @7,7,161302.5,161299.3999999985,157819.461,157821.69999999553,157836.127,161319.321
,flow.Sequence,1_0,2021-06-03T01:53:42.231Z,,,5,,,7720.86099999852,completion,0,number-7-sd-1.png,27,34,31,36,33,30,39,39,7,,,7,161303.29999999702,161299.3999999985,153561.873,153578.5,153578.539,161319.321
Stimulus + Response,canvas.Screen,1_1_1,2021-06-03T01:53:47.636Z,true,6,15,25,-11,1620.6630000000005,response,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,6,click @6,7,166708.79999999702,166706.5,165069.171,165057.79999999702,165085.837,166719.105
,flow.Sequence,1_1,2021-06-03T01:53:47.637Z,,,15,,,5387.179000000004,completion,1,graph-7-ld-5.png,43,38,27,48,19,56,33,56,6,,,7,166709.09999999404,166706.5,161302.655,161303.5,161319.321,166719.105
Stimulus + Response,canvas.Screen,1_2_1,2021-06-03T01:53:52.351Z,true,4,15,70,2,1626.5059999940277,response,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,4,click @4,5,171423.09999999404,171421.09999999404,169777.928,169789.5,169794.594,171427.862
,flow.Sequence,1_2,2021-06-03T01:53:52.351Z,,,15,,,4701.994999994029,completion,1,graph-5-ld-3.png,37,28,43,58,50,0,0,58,4,,,5,171423.3999999985,171421.09999999404,166702.439,166709.19999999553,166719.105,171427.862
Stimulus + Response,canvas.Screen,1_3_1,2021-06-03T01:53:59.629Z,true,1,15,31,-24,1970.9499999940454,response,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,1,click @1,5,178701,178698.59999999404,176710.984,176720.59999999404,176727.65,178710.904
,flow.Sequence,1_3,2021-06-03T01:53:59.629Z,,,15,,,7270.737999994046,completion,0,number-5-ld-4.png,44,36,15,30,24,0,0,44,1,,,5,178701.29999999702,178698.59999999404,171411.196,171423.59999999404,171427.862,178710.904
Stimulus + Response,canvas.Screen,1_4_1,2021-06-03T01:54:02.867Z,true,2,15,50,-98,1705.1419999985083,response,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,2,click @2,5,181938.69999999553,181936.3999999985,180214.592,180217.19999999553,180231.258,181947.856
,flow.Sequence,1_4,2021-06-03T01:54:02.867Z,,,15,,,3225.4959999985003,completion,1,graph-5-ld-5.png,47,75,61,54,68,0,0,75,2,,,5,181939,181936.3999999985,178694.238,178701.5,178710.904,181947.856
