repr,deviation,size,count,mean,std,min,25%,50%,75%,max,correct
Graph,Large,3,125.0,876.1910799996355,214.7215590349796,488.1259999999311,747.066,847.1070000001055,952.2859999879292,1746.489999997022,1.0
Graph,Large,5,125.0,987.7438879981587,247.7582132479772,555.0,833.0,947.8779999776452,1090.3349999789862,1969.6100000612787,1.0
Graph,Large,7,125.0,1064.054239997754,233.22794312894652,546.0,914.7309999999708,1050.884,1173.9089999627904,1917.568999976418,1.0
Graph,Small,3,125.0,941.3030719952981,249.68659408829365,527.7860000000219,789.4659999999858,880.1909999985073,1053.412999949942,2585.2319999796164,1.0
Graph,Small,5,125.0,1173.3559599954497,449.9603293265453,591.0,917.15900003539,1045.0,1294.331,3451.0249999955413,0.992
Graph,Small,7,125.0,1295.76100799758,460.4526247493933,651.0,1032.782,1202.5489999879355,1388.207999960374,3928.594000000012,0.984
Number,Large,3,125.0,1205.3028159982541,266.0279442253483,711.0329999999667,1013.024999994028,1152.6789999911562,1332.0,2171.681999999972,0.936
Number,Large,5,125.0,1697.924319998732,501.40381635012903,1026.999999999971,1343.8179999955464,1567.0,1938.7049999717856,3319.0,0.872
Number,Large,7,125.0,1934.8357039976238,609.1103880693832,990.1919999999808,1489.3889999932435,1838.5239999970072,2256.708000000159,3845.683999999892,0.808
Number,Small,3,125.0,1311.294800000282,324.8066158558057,799.4700000000594,1116.8819999970146,1249.0,1486.7129999898607,2780.0,0.96
Number,Small,5,125.0,1796.974720002944,510.3594762753591,929.0000000000292,1449.869000000006,1715.0,2031.000000000029,3590.369000000006,0.832
Number,Small,7,125.0,2401.6329920002904,782.719939673663,1068.0,1836.0,2174.0,2798.059000000037,4945.178000000073,0.784
