,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
0,True,True,True,True,True,True,True,True,True,True,True,True
1,True,True,True,True,True,True,True,True,True,True,True,False
2,True,True,True,True,True,True,True,False,True,True,True,False
3,True,True,True,True,True,True,True,False,True,True,True,True
4,True,True,True,True,True,True,True,True,True,True,True,False
5,True,True,True,True,True,True,True,True,True,True,True,True
6,True,True,True,True,True,True,True,True,True,True,True,True
7,True,True,True,True,True,True,True,False,True,True,True,False
8,True,True,True,True,True,True,True,True,False,True,True,False
9,True,True,True,True,True,True,True,True,True,True,True,True
10,True,True,True,True,True,True,True,True,True,True,True,True
11,True,True,True,True,True,True,True,True,True,True,True,True
12,True,True,True,True,True,True,True,True,False,True,True,True
13,True,True,True,True,True,True,True,True,False,True,True,True
14,True,True,True,True,True,True,True,True,False,True,False,True
15,True,True,True,True,True,True,True,True,True,True,True,False
16,True,True,True,True,True,True,True,True,True,True,False,True
17,True,True,True,True,True,True,True,True,True,True,True,True
18,True,True,True,True,True,True,True,True,True,True,True,True
19,True,True,True,True,True,True,True,True,True,True,True,True
20,True,True,True,True,True,True,True,False,True,True,True,True
21,True,True,True,True,True,True,True,True,True,True,False,True
22,True,True,True,True,True,True,False,True,True,True,True,True
23,True,True,True,True,True,True,True,True,False,True,True,True
24,True,True,True,True,True,True,True,True,False,True,True,True
25,True,True,True,True,True,True,True,True,True,True,False,True
26,True,True,True,True,True,False,False,False,True,True,True,True
27,True,True,True,True,True,True,True,True,True,True,True,False
28,True,True,True,True,True,True,True,True,False,True,True,True
29,True,True,True,True,True,True,True,False,True,True,True,True
30,True,True,True,True,True,True,True,True,True,True,False,True
31,True,True,True,True,True,True,True,False,False,True,True,True
32,True,True,True,True,True,True,False,True,True,True,True,False
33,True,True,True,True,True,True,True,True,True,False,True,True
34,True,True,True,True,True,True,False,True,True,True,False,True
35,True,True,True,True,True,True,True,True,False,True,True,True
36,True,True,True,True,True,True,True,True,True,True,True,False
37,True,True,True,True,True,True,True,True,False,True,True,True
38,True,True,True,True,True,True,True,True,True,False,True,True
39,True,True,True,True,True,True,True,False,True,True,True,True
40,True,True,True,True,True,True,True,False,True,True,True,True
41,True,True,True,True,True,True,True,False,True,True,True,True
42,True,True,True,True,True,False,True,True,False,True,True,True
43,True,True,True,True,True,True,True,True,True,True,True,True
44,True,True,True,True,True,True,True,True,True,True,True,True
45,True,True,True,True,True,True,True,True,True,False,True,True
46,True,True,True,True,True,True,True,True,True,True,True,False
47,True,True,True,True,True,True,True,True,True,True,True,True
48,True,True,True,True,True,True,True,True,True,True,True,False
49,True,True,True,True,True,True,True,True,True,True,False,False
50,True,True,True,True,True,True,True,True,True,True,True,True
51,True,True,True,True,True,True,True,True,True,True,True,True
52,True,True,True,True,True,True,True,True,True,True,True,True
53,True,True,True,True,False,True,True,True,True,True,True,True
54,True,True,True,True,True,True,True,True,False,True,False,False
55,True,True,True,True,True,True,True,True,True,True,False,True
56,True,True,True,True,True,True,True,True,True,True,True,True
57,True,True,True,True,True,True,True,True,True,True,True,True
58,True,True,True,True,True,True,True,True,True,True,True,True
